scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus
Argenteohyla siemersi,Amphibia,Anura,Hylidae,Argenteohyla,siemersi,,rana motor,EN,DD
Boana albopunctata,Amphibia,Anura,Hylidae,Boana,albopunctata,,rana punteada de blanco,LC,DD
Boana pulchella,Amphibia,Anura,Hylidae,Boana,pulchella,,rana trepadora,LC,LC
Ceratophrys ornata,Amphibia,Anura,Ceratophryidae,Ceratophrys,ornata,,escuerzo grande,NT,VU
Chthonerpeton indistinctum,Amphibia,Gymnophiona,Caeciliidae,Chthonerpeton,indistinctum,,cecilia,LC,LC
Dendropsophus minutus,Amphibia,Anura,Hylidae,Dendropsophus,minutus,,ranita rayada,LC,EN
Dendropsophus nanus,Amphibia,Anura,Hylidae,Dendropsophus,nanus,,ranita enana del chaco,LC,EN
Dendropsophus sanborni,Amphibia,Anura,Hylidae,Dendropsophus,sanborni,,ranita enana de sanborn,LC,LC
Elachistocleis bicolor,Amphibia,Anura,Microhylidae,Elachistocleis,bicolor,,sapito oval,LC,LC
Hylodes asper,Amphibia,Anura,Hylodidae,Hylodes,asper,,,LC,
Julianus uruguayus,Amphibia,Anura,Hylidae,Julianus,uruguayus,,ranita uruguaya,LC,LC
Leptodactylus chaquensis,Amphibia,Anura,Leptodactylidae,Leptodactylus,chaquensis,,rana del chaco,LC,LC
Leptodactylus furnarius,Amphibia,Anura,Leptodactylidae,Leptodactylus,furnarius,,rana de campo grande,LC,CR
Leptodactylus gracilis,Amphibia,Anura,Leptodactylidae,Leptodactylus,gracilis,,rana saltadora,LC,LC
Leptodactylus latinasus,Amphibia,Anura,Leptodactylidae,Leptodactylus,latinasus,,rana piadora,LC,LC
Leptodactylus latrans,Amphibia,Anura,Leptodactylidae,Leptodactylus,latrans,,rana común,LC,LC
Leptodactylus mystacinus,Amphibia,Anura,Leptodactylidae,Leptodactylus,mystacinus,,rana de bigotes,LC,LC
Leptodactylus podicipinus,Amphibia,Anura,Leptodactylidae,Leptodactylus,podicipinus,,rana de vientre moteado,LC,DD
Limnomedusa macroglossa,Amphibia,Anura,Cycloramphidae,Limnomedusa,macroglossa,,rana de las piedras,LC,LC
Lysapsus limellum,Amphibia,Anura,Hylidae,Lysapsus,limellum,,rana boyadora chica,LC,EN
Melanophryniscus atroluteus,Amphibia,Anura,Bufonidae,Melanophryniscus,atroluteus,,sapito banderita española,LC,LC
Melanophryniscus devincenzii,Amphibia,Anura,Bufonidae,Melanophryniscus,devincenzii,,sapito de devicenzi,EN,EN
Melanophryniscus langonei,Amphibia,Anura,Bufonidae,Melanophryniscus,langonei,,sapito de langone,CR,CR
Melanophryniscus montevidensis,Amphibia,Anura,Bufonidae,Melanophryniscus,montevidensis,,sapito de darwin,VU,CR
Melanophryniscus pachyrhynus,Amphibia,Anura,Bufonidae,Melanophryniscus,pachyrhynus,,sapito de nariz gorda,DD,EN
Melanophryniscus sanmartini,Amphibia,Anura,Bufonidae,Melanophryniscus,sanmartini,,sapito de san martín,NT,NT
Odontophrynus americanus,Amphibia,Anura,Cycloramphidae,Odontophrynus,americanus,,escuerzo chico,LC,LC
Odontophrynus maisuma,Amphibia,Anura,Cycloramphidae,Odontophrynus,maisuma,,escuercito,NE,NT
Ololygon aromothyella,Amphibia,Anura,Hylidae,Ololygon,aromothyella,,ranita de las tormentas,DD,EN
Ololygon berthae,Amphibia,Anura,Hylidae,Ololygon,berthae,,ranita de pintas naranja,LC,LC
Phyllomedusa iheringii,Amphibia,Anura,Hylidae,Phyllomedusa,iheringii,,rana monito,LC,LC
Physalaemus albonotatus,Amphibia,Anura,Leiuperidae,Physalaemus,albonotatus,,,LC,NE
Physalaemus biligonigerus,Amphibia,Anura,Leiuperidae,Physalaemus,biligonigerus,,ranita de cuatro ojos,LC,LC
Physalaemus cuvieri,Amphibia,Anura,Leiuperidae,Physalaemus,cuvieri,,rana perro,LC,DD
Physalaemus fernandezae,Amphibia,Anura,Leiuperidae,Physalaemus,fernandezae,,ranita de fernández,LC,EN
Physalaemus gracilis,Amphibia,Anura,Leiuperidae,Physalaemus,gracilis,,ranita gato,LC,LC
Physalaemus henselii,Amphibia,Anura,Leiuperidae,Physalaemus,henselii,,ranita de hensel,LC,LC
Physalaemus riograndensis,Amphibia,Anura,Leiuperidae,Physalaemus,riograndensis,,ranita de río grande,LC,LC
Pleurodema bibroni,Amphibia,Anura,Leiuperidae,Pleurodema,bibroni,,ranita de bibron,NT,NT
Pseudis minuta,Amphibia,Anura,Hylidae,Pseudis,minuta,,rana boyadora grande,LC,LC
Pseudopaludicola falcipes,Amphibia,Anura,Leiuperidae,Pseudopaludicola,falcipes,,rana de vientre moteado,LC,LC
Rhinella achavali,Amphibia,Anura,Bufonidae,Rhinella,achavali,,sapo grande de achaval,LC,NT
Rhinella arenarum,Amphibia,Anura,Bufonidae,Rhinella,arenarum,,sapo común,LC,LC
Rhinella diptycha,Amphibia,Anura,Bufonidae,Rhinella,diptycha,,,DD,NE
Rhinella dorbignyi,Amphibia,Anura,Bufonidae,Rhinella,dorbignyi,,sapitos de jardín,LC,LC
Rhinella fernandezae,Amphibia,Anura,Bufonidae,Rhinella,fernandezae,,sapo cururú,LC,LC
Scinax fuscovarius,Amphibia,Anura,Hylidae,Scinax,fuscovarius,,rana de flancos amarillos,LC,LC
Scinax granulatus,Amphibia,Anura,Hylidae,Scinax,granulatus,,rana roncadora,LC,LC
Scinax nasicus,Amphibia,Anura,Hylidae,Scinax,nasicus,,ranita de pecho manchado,LC,EN
Scinax squalirostris,Amphibia,Anura,Hylidae,Scinax,squalirostris,,ranita hocicuda,LC,LC
