scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus
Akodon azarae,Mammalia,Rodentia,Cricetidae,Akodon,azarae,,ratón de campo,LC,
Akodon montensis,Mammalia,Rodentia,Cricetidae,Akodon,montensis,,,LC,
Akodon reigi,Mammalia,Rodentia,Cricetidae,Akodon,reigi,,ratón de monte,LC,
Alouatta caraya,Mammalia,Primates,Atelidae,Alouatta,caraya,,mono aullador negro,LC,
Arctocephalus australis,Mammalia,Carnivora,Otariidae,Arctocephalus,australis,,lobo marino fino,LC,
Arctocephalus gazella,Mammalia,Carnivora,Otariidae,Arctocephalus,gazella,,lobo fino antártico,LC,
Arctocephalus tropicalis,Mammalia,Carnivora,Otariidae,Arctocephalus,tropicalis,,lobo marino fino subantártico,LC,
Balaenoptera acutorostrata,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,acutorostrata,,ballena minke enana,LC,
Balaenoptera bonaerensis,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,bonaerensis,,ballena minke antártica,NT,
Balaenoptera edeni,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,edeni,,ballena de eden,LC,
Balaenoptera musculus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,musculus,,ballena azul,EN,
Balaenoptera physalus,Mammalia,Cetacea,Balaenopteridae,Balaenoptera,physalus,,ballena fin,VU,
Blastocerus dichotomus,Mammalia,Artiodactyla,Cervidae,Blastocerus,dichotomus,,ciervo de los pantanos,VU,
Cabassous tatouay,Mammalia,Cingulata,Dasypodidae,Cabassous,tatouay,,tatú de rabo molle,LC,
Calomys laucha,Mammalia,Rodentia,Cricetidae,Calomys,laucha,,laucha,LC,
Caperea marginata,Mammalia,Cetacea,Neobalaenidae,Caperea,marginata,,ballena franca pigmea,LC,
Cavia aperea,Mammalia,Rodentia,Caviidae,Cavia,aperea,,apereá,LC,
Cavia fulgida,Mammalia,Rodentia,Caviidae,Cavia,fulgida,,,LC,
Cavia magna,Mammalia,Rodentia,Caviidae,Cavia,magna,,apereá de dorso oscuro,LC,
Cerdocyon thous,Mammalia,Carnivora,Canidae,Cerdocyon,thous,,zorro perro,LC,
Chironectes minimus,Mammalia,Didelphimorphia,Didelphidae,Chironectes,minimus,,yapok,LC,
Chrysocyon brachyurus,Mammalia,Carnivora,Canidae,Chrysocyon,brachyurus,,aguaraguazú,NT,
Coendou prehensilis,Mammalia,Rodentia,Erethizontidae,Coendou,prehensilis,,coendú,LC,
Conepatus chinga,Mammalia,Carnivora,Mephitidae,Conepatus,chinga,,zorrillo,LC,
Cryptonanus chacoensis,Mammalia,Didelphimorphia,Didelphidae,Cryptonanus,chacoensis,,marmosa,LC,
Ctenomys pearsoni,Mammalia,Rodentia,Ctenomyidae,Ctenomys,pearsoni,,tucu tucu de pearson,NT,
Ctenomys rionegrensis,Mammalia,Rodentia,Ctenomyidae,Ctenomys,rionegrensis,,tucu tucu de río negro,EN,
Ctenomys torquatus,Mammalia,Rodentia,Ctenomyidae,Ctenomys,torquatus,,tucu tucu,LC,
Cuniculus paca,Mammalia,Rodentia,Cuniculidae,Cuniculus,paca,,paca,LC,
Dasypus hybridus,Mammalia,Cingulata,Dasypodidae,Dasypus,hybridus,,mulita,NT,
Dasypus novemcinctus,Mammalia,Cingulata,Dasypodidae,Dasypus,novemcinctus,,tatú,LC,
Delphinus capensis,Mammalia,Cetacea,Delphinidae,Delphinus,capensis,,delfín común de pico largo,DD,
Delphinus delphis,Mammalia,Cetacea,Delphinidae,Delphinus,delphis,,delfín común de pico corto,LC,
Deltamys kempi,Mammalia,Rodentia,Cricetidae,Deltamys,kempi,,ratón aterciopelado,LC,
Desmodus rotundus,Mammalia,Chiroptera,Phyllostomidae,Desmodus,rotundus,,vampiro,LC,
Didelphis albiventris,Mammalia,Didelphimorphia,Didelphidae,Didelphis,albiventris,,comadreja mora,LC,
Eptesicus brasiliensis,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,brasiliensis,,,LC,
Eptesicus diminutus,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,diminutus,,murciélago dorado,LC,
Eptesicus furinalis,Mammalia,Chiroptera,Vespertilionidae,Eptesicus,furinalis,,mueciélago bronceado,LC,
Eubalaena australis,Mammalia,Cetacea,Balaenidae,Eubalaena,australis,,franca austral,LC,
Eumops bonariensis,Mammalia,Chiroptera,Molossidae,Eumops,bonariensis,,murciélago de orejas anchas,LC,
Eumops patagonicus,Mammalia,Chiroptera,Molossidae,Eumops,patagonicus,,murciélago de orejas anchas patagónico,LC,
Euphractus sexcinctus,Mammalia,Cingulata,Dasypodidae,Euphractus,sexcinctus,,peludo,LC,
Galictis cuja,Mammalia,Carnivora,Mustelidae,Galictis,cuja,,hurón,LC,
Globicephala melas,Mammalia,Cetacea,Delphinidae,Globicephala,melas,,ballena piloto de aletas largas,LC,
Gracilinanus agilis,Mammalia,Didelphimorphia,Didelphidae,Gracilinanus,agilis,,marmosa,LC,
Histiotus montanus,Mammalia,Chiroptera,Vespertilionidae,Histiotus,montanus,,murciélago orejudo,LC,
Histiotus velatus,Mammalia,Chiroptera,Vespertilionidae,Histiotus,velatus,,murciélago orejudo oscuro,DD,
