scientificName,class,order,family,genus,specificEpithet,infraspecificEpithet,vernacularName,iucnGlobalStatus,iucnRegionalStatus
Acanthochelys spixii,Reptilia,Testudines,Chelidae,Acanthochelys,spixii,,tortuga de canaleta,NT,LC
Amphisbaena darwinii,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,darwinii,,víbora ciega de darwin,NE,LC
Amphisbaena kingii,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,kingii,,víbora ciega de cabeza en cuña,NE,LC
Amphisbaena munoai,Reptilia,Squamata,Amphisbaenidae,Amphisbaena,munoai,,víbora ciega chica,NE,LC
Anisolepis undulatus,Reptilia,Squamata,Iguanidae,Anisolepis,undulatus,,lagartija arborícola,VU,DD
Aspronema dorsivittatum,Reptilia,Squamata,Scincidae,Aspronema,dorsivittatum,,lagartija brillante,NE,LC
Atractus reticulatus,Reptilia,Squamata,Colubridae,Atractus,reticulatus,,culebra reticulada,NE,DD
Boiruna maculata,Reptilia,Squamata,Colubridae,Boiruna,maculata,,musurana,NE,LC
Bothrops alternatus,Reptilia,Squamata,Viperidae,Bothrops,alternatus,,crucera,NE,LC
Bothrops pubescens,Reptilia,Squamata,Viperidae,Bothrops,pubescens,,yarará,NE,LC
Caiman latirostris,Reptilia,Crocodilia,Alligatoridae,Caiman,latirostris,,yacaré,LC,LC
Calamodontophis paucidens,Reptilia,Squamata,Colubridae,Calamodontophis,paucidens,,culebra jaspeada,VU,DD
Caretta caretta,Reptilia,Testudines,Cheloniidae,Caretta,caretta,,tortuga falsa carey,VU,VU
Cercosaura schreibersii,Reptilia,Squamata,Gymnophthalmidae,Cercosaura,schreibersii,,camaleón marrón,LC,LC
Chelonia mydas,Reptilia,Testudines,Cheloniidae,Chelonia,mydas,,tortuga verde,EN,VU
Chironius bicarinatus,Reptilia,Squamata,Colubridae,Chironius,bicarinatus,,culebra papapintos,NE,LC
Contomastix lacertoides,Reptilia,Squamata,Teiidae,Contomastix,lacertoides,,lagartija verde de cinco dedos,NE,LC
Crotalus durissus terrificus,Reptilia,Squamata,Viperidae,Crotalus,durissus,terrificus,cascabel,LC,EN
Dermochelys coriacea,Reptilia,Testudines,Dermochelyidae,Dermochelys,coriacea,,tortuga laúd,VU,CR
Dipsas turgidus,Reptilia,Squamata,Colubridae,Dipsas,turgidus,,culebra duerme duerme,NE,LC
Epictia munoai,Reptilia,Squamata,Leptotyphlopidae,Epictia,munoai,,viborita de dos cabezas,NE,LC
Eretmochelys imbricata,Reptilia,Testudines,Cheloniidae,Eretmochelys,imbricata,,tortuga carey,CR,NE
Erythrolamprus almadensis,Reptilia,Squamata,Colubridae,Erythrolamprus,almadensis,,culebra de almada,NE,LC
Erythrolamprus jaegeri,Reptilia,Squamata,Colubridae,Erythrolamprus,jaegeri,,culebra verde de vientre rojo,LC,LC
Erythrolamprus poecilogyrus,Reptilia,Squamata,Colubridae,Erythrolamprus,poecilogyrus,,culebra de peñarol,NE,LC
Erythrolamprus semiaureus,Reptilia,Squamata,Colubridae,Erythrolamprus,semiaureus,,culebra parda de agua,NE,LC
Eunectes notaeus,Reptilia,Squamata,Boidae,Eunectes,notaeus,,anaconda amarilla,NE,NE
Helicops infrataeniatus,Reptilia,Squamata,Colubridae,Helicops,infrataeniatus,,culebra de agua,NE,LC
Homonota uruguayensis,Reptilia,Squamata,Phyllodactylidae,Homonota,uruguayensis,,geko de las piedras,NE,VU
Hydromedusa tectifera,Reptilia,Testudines,Chelidae,Hydromedusa,tectifera,,tortuga cabeza de víbora,NE,LC
Lepidochelys olivacea,Reptilia,Testudines,Cheloniidae,Lepidochelys,olivacea,,tortuga olivacea,VU,NE
Leposternon microcephalum,Reptilia,Squamata,Amphisbaenidae,Leposternon,microcephalum,,víbora ciega de cabeza chica,NE,DD
Leptophis ahaetulla,Reptilia,Squamata,Colubridae,Leptophis,ahaetulla,,culebra arborícola,NE,DD
Liolaemus gardeli,Reptilia,Squamata,Liolaemidae,Liolaemus,gardeli,,,NE,NE
Liolaemus occipitalis,Reptilia,Squamata,Liolaemidae,Liolaemus,occipitalis,,lagartja de la arena,VU,EN
Liolaemus wiegmannii,Reptilia,Squamata,Liolaemidae,Liolaemus,wiegmannii,,lagartija de la arena de Wiegmann,LC,VU
Liotyphlops ternetzii,Reptilia,Squamata,Anomalepididae,Liotyphlops,ternetzii,,víbora ciega de ternetz,NE,DD
Lygophis anomalus,Reptilia,Squamata,Colubridae,Lygophis,anomalus,,culebra de líneas amarillas,NE,LC
Lygophis flavifrenatus,Reptilia,Squamata,Colubridae,Lygophis,flavifrenatus,,culebra listada,NE,LC
Micrurus altirostris,Reptilia,Squamata,Elapidae,Micrurus,altirostris,,coral,NE,LC
Ophiodes intermedius,Reptilia,Squamata,Diploglossidae,Ophiodes,intermedius,,víbora de cristal castaña,LC,LC
Ophiodes striatus,Reptilia,Squamata,Diploglossidae,Ophiodes,striatus,,víbora de cristal verde,NE,LC
Ophiodes vertebralis,Reptilia,Squamata,Diploglossidae,Ophiodes,vertebralis,,víbora de cristal común,NE,LC
Oxyrhopus rhombifer,Reptilia,Squamata,Colubridae,Oxyrhopus,rhombifer,,falsa coral,NE,LC
Paraphimophis rusticus,Reptilia,Squamata,Colubridae,Paraphimophis,rusticus,,culebra marrón,NE,LC
Phalotris lemniscatus,Reptilia,Squamata,Colubridae,Phalotris,lemniscatus,,culebra de collar,LC,LC
Philodryas aestiva,Reptilia,Squamata,Colubridae,Philodryas,aestiva,,culebra verde esmeralda,NE,LC
Philodryas agassizii,Reptilia,Squamata,Colubridae,Philodryas,agassizii,,culebra verde listada,NE,LC
Philodryas olfersii,Reptilia,Squamata,Colubridae,Philodryas,olfersii,,culebra de olfers,NE,LC
Philodryas patagoniensis,Reptilia,Squamata,Colubridae,Philodryas,patagoniensis,,parejera,LC,LC
Phrynops hilarii,Reptilia,Testudines,Chelidae,Phrynops,hilarii,,campanita,NE,LC
Phrynops williamsi,Reptilia,Testudines,Chelidae,Phrynops,williamsi,,tortuga de herradura,VU,NT
Psomophis obtusus,Reptilia,Squamata,Colubridae,Psomophis,obtusus,,culebra castaña de vientre rojo,LC,LC
Salvator merianae,Reptilia,Squamata,Teiidae,Salvator,merianae,,lagarto overo,LC,LC
Stenocercus azureus,Reptilia,Squamata,Tropiduridae,Stenocercus,azureus,,lagartija manchada,NE,NT
Taeniophallus occipitalis,Reptilia,Squamata,Colubridae,Taeniophallus,occipitalis,,culebra de pintas,NE,LC
Taeniophallus poecilopogon,Reptilia,Squamata,Colubridae,Taeniophallus,poecilopogon,,culebra acintada,NE,VU
